Plate,BusCoach,City
SV08FYA,B,Aberdeen
SV08FXS,B,Aberdeen
SV08FXW,B,Aberdeen
SV06GRU,B,Aberdeen
SV58BMY,B,Aberdeen
LF14CTZ,B,Aberdeen
KX61GDY,C,Aberdeen
SV58BND,B,Aberdeen
SY07CVB,B,Aberdeen
DK65AJV,B,Aberdeen
PX07HBG,B,Aberdeen
SV10CUK,C,Aberdeen
CV55ANP,C,Aberdeen
YN05XBC,C,Aberdeen
SV08FXY,B,Aberdeen
SV12DAA,B,Aberdeen
SV12DAO,B,Aberdeen
SN09CBO,B,Aberdeen
SV12CZY,B,Aberdeen
X622NSS,B,Aberdeen
SV07EHL,B,Aberdeen
SV12CZU,B,Aberdeen
SV08FHA,B,Aberdeen
SN09CAV,B,Aberdeen
SV08FHB,B,Aberdeen
SV12CZX,B,Aberdeen
SV06GRK,B,Aberdeen
SN14FEF,B,Aberdeen
SN09CCZ,B,Aberdeen
SV57EYK,B,Aberdeen
SV12CZW,B,Aberdeen
SN14FEP,B,Aberdeen
SV08FHE,B,Aberdeen
SV12CZZ,B,Aberdeen
Y626RSA,B,Aberdeen
SV57EYJ,B,Aberdeen
SV08FHF,B,Aberdeen
Y635RSA,B,Aberdeen
SV62BZA,B,Aberdeen
SN14FEJ,B,Aberdeen
SN14ECZ,B,Aberdeen
SV12CZT,B,Aberdeen
SL14DBY,B,Aberdeen
SN14FDZ,B,Aberdeen
SV07EHD,B,Aberdeen
SV07EHB,B,Aberdeen
SV12CZS,B,Aberdeen
VU06JDO,B,Aberdeen
X621NSS,B,Aberdeen
SV58BMZ,B,Aberdeen
SV07EHK,B,Aberdeen
SV08FHC,B,Aberdeen
SN14EDR,B,Aberdeen
SK63ATU,B,Aberdeen
P569MSX,C,Aberdeen
SP55DDE,B,Aberdeen
YJ05XOG,B,Aberdeen
FN63PWX,C,Aberdeen
SP12TXJ,B,Aberdeen
VX04GHZ,B,Aberdeen
SN16OMD,B,Aberdeen
SN16OMY,B,Aberdeen
D16CTC,C,Aberdeen
LSK830,C,Aberdeen
SF62CPU,C,Aberdeen
SV12CZM,B,Aberdeen
SN08HVA,B,Aberdeen
SF16MVL,B,Aberdeen
BF64XYT,B,Aberdeen
SV07KXS,B,Aberdeen
FSU395,C,Aberdeen
LSK570,C,Aberdeen
NH14NBH,C,Aberdeen
SN13CNY,B,Aberdeen
Y634RSA,B,Aberdeen
SN65ZGB,B,Aberdeen
SV07EHG,B,Aberdeen
SN65ZGE,B,Aberdeen
SN09CCY,B,Aberdeen
SV05DXA,B,Aberdeen
SN14FEX,B,Aberdeen
SN09CAU,B,Aberdeen
SV05DXS,B,Aberdeen
Y638RSA,B,Aberdeen
SN09CCO,B,Aberdeen
SF62CLV,C,Aberdeen
SV05DXT,B,Aberdeen
X623NSS,B,Aberdeen
SN09CDE,B,Aberdeen
SN09CBV,B,Aberdeen
SN09CCU,B,Aberdeen
SN65ZGG,B,Aberdeen
SN13CNZ,B,Aberdeen
SN13COJ,B,Aberdeen
SN14FEK,B,Aberdeen
Y628RSA,B,Aberdeen
Y636RSA,B,Aberdeen
SV14DMX,B,Aberdeen
SN09CBX,B,Aberdeen
FSU382,B,Aberdeen
SV05DXC,B,Aberdeen
SV05DXO,B,Aberdeen
SN09CCJ,B,Aberdeen
SV64BRF,B,Aberdeen
SV05DXX,B,Aberdeen
SN09CAX,B,Aberdeen
SV64BRX,B,Aberdeen
SN65ZFZ,B,Aberdeen
SL64OXN,B,Aberdeen
SN09CCA,B,Aberdeen
SN09CCX,B,Aberdeen
SN09CCK,B,Aberdeen
EY54BPZ,B,Aberdeen
SN65ZGC,B,Aberdeen
SN09CDO,B,Aberdeen
SV12CZF,B,Aberdeen
SN09CBY,B,Aberdeen
SV08DHU,B,Aberdeen
SN09CDF,B,Aberdeen
SN09CCD,B,Aberdeen
YX65ZJZ,C,Aberdeen
YX64WCC,C,Aberdeen
AO02RCY,C,Aberdeen
SN09CDK,B,Aberdeen
SV57FUM,B,Aberdeen
WX54ZHM,C,Aberdeen
SV06GRX,B,Aberdeen
SV05DXP,B,Aberdeen
Y631RSA,B,Aberdeen
SV05DXH,B,Aberdeen
SV05DXY,B,Aberdeen
SV05DXU,B,Aberdeen
SV05DXF,B,Aberdeen
L44CTC,C,Aberdeen
D7CTC,C,Aberdeen
YN54NXZ,C,Aberdeen
SF05KUH,B,Aberdeen
VAV15,C,Aberdeen
LSK825,C,Aberdeen
SF13FMC,C,Aberdeen
SF16KUT,C,Aberdeen
YJ14LHD,C,Aberdeen
SF13FMK,C,Aberdeen
LSK530,C,Aberdeen
SF62CMV,C,Aberdeen
YX65ZKK,C,Aberdeen
YJ64AUR,C,Aberdeen
SV62BDX,C,Aberdeen
R20TPT,B,Aberdeen
J90JFJ,C,Aberdeen
MX61LGO,B,Aberdeen
CN04XDR,B,Aberdeen
MJ09KTP,B,Aberdeen
YJ66FFS,C,Aberdeen
SP59AOT,B,Aberdeen
FE63ZBX,B,Aberdeen
YK05CBF,B,Aberdeen
YX63NGU,C,Aberdeen
SV08FZS,B,Aberdeen
SF05FNY,B,Aberdeen
MX61LFZ,C,Aberdeen
YX65ZKT,C,Aberdeen
BK11WPV,B,Aberdeen
R301BJA,C,Aberdeen
SV59CHD,C,Aberdeen
YX65ZKG,C,Aberdeen
YX65ZKF,C,Aberdeen
YX65ZKL,C,Aberdeen
SV57BYU,B,Aberdeen
YX65ZKC,C,Aberdeen
MX61KYB,C,Aberdeen
YX65ZKD,C,Aberdeen
YX65ZKR,C,Aberdeen
SV57BYR,B,Aberdeen
SV54EKU,C,Aberdeen
YX65ZKB,C,Aberdeen
YX65ZKE,C,Aberdeen
YX65ZKN,C,Aberdeen
YX65ZKP,C,Aberdeen
YX65ZKJ,C,Aberdeen
YX65ZKH,C,Aberdeen
SV12CZO,B,Aberdeen
YX65ZKO,C,Aberdeen
SN14FDX,B,Aberdeen
JR13AAA,C,Aberdeen
IB9997,C,Aberdeen
SP62BHK,B,Aberdeen
D9CTC,C,Aberdeen
YX63LHE,B,Aberdeen
SN60AOY,C,Aberdeen
SM15VKC,B,Aberdeen
SN66VZS,B,Aberdeen
SN12ASX,B,Aberdeen
SV59CHO,C,Aberdeen
NIW525,C,Aberdeen
CN53AMU,B,Aberdeen
SP14AYC,B,Aberdeen
YEZ6520,B,Aberdeen
FSU394,C,Aberdeen
BF65HXK,B,Aberdeen
SP15CLO,B,Aberdeen
SN56FEP,B,Aberdeen
L99CTC,C,Aberdeen
SV08DHK,C,Aberdeen
YJ05XOC,B,Aberdeen
PSU628,C,Aberdeen
SL14DCU,B,Aberdeen
SV07EHE,B,Aberdeen
SV57EYH,B,Aberdeen
BMC2T,C,Aberdeen
L80CTC,C,Aberdeen
SP59APX,B,Aberdeen
Y724HWT,C,Aberdeen
SF06KHV,B,Aberdeen
SM12SON,C,Aberdeen
SP59AOX,B,Aberdeen
SV64BRZ,B,Aberdeen
SF62CZN,C,Aberdeen
WA14CMU,C,Aberdeen
SV55EEP,C,Aberdeen
BL16FZY,B,Aberdeen
SV12CZJ,B,Aberdeen
SV57BYT,B,Aberdeen
D15CTC,C,Aberdeen
CN09AAZ,B,Aberdeen
A3MWN,C,Aberdeen
LK11GFZ,C,Aberdeen
SF13FMD,C,Aberdeen
LSK807,C,Aberdeen
SV62BXY,B,Aberdeen
D8CTC,C,Aberdeen
SN60BFF,B,Aberdeen
KX58NCA,B,Aberdeen
SV09EGJ,C,Aberdeen
YJ16EJO,C,Aberdeen
SV09EGF,C,Aberdeen
PX59CVB,C,Aberdeen
SV61CUG,C,Aberdeen
VU06KFN,B,Aberdeen
SP08FUV,C,Aberdeen
CN09ABO,B,Aberdeen
SV55FJZ,C,Aberdeen
SV61CUA,C,Aberdeen
SF55RKA,C,Aberdeen
SV08FZP,B,Aberdeen
