Plate,BusCoach,City
SV55BZX,B,Dundee
SV55CCK,B,Dundee
SV59CHC,C,Dundee
SV60CCO,B,Dundee
SV60CCX,B,Dundee
SV62BBK,C,Dundee
SV62BFF,C,Dundee
SW09UMB,C,Dundee
SW09UNS,C,"Aberdeen, Dundee"
UAP969,C,Dundee
US60LFS,B,Dundee
V426MOA,B,Dundee
V76MOA,B,Dundee
W117DOP,B,Dundee
W122DOP,B,Dundee
W124DOP,B,Dundee
WA04FOJ,B,Dundee
WA04FOM,B,Dundee
WA14CNE,C,Dundee
WR58ZWS,B,Dundee
XIL636,C,Dundee
XIL676,C,Dundee
XIL711,C,Dundee
YBZ818,C,Dundee
YE52FGV,B,Dundee
YIJ351,C,Dundee
YIL696,C,Dundee
YJ14LHC,C,"Aberdeen, Dundee"
YJ15AEF,B,Dundee
YJ15AEG,B,Dundee
YJ15AMV,B,Dundee
YJ15ANF,B,Dundee
YJ16EJE,C,Dundee
YJ16EJF,C,"Aberdeen, Dundee"
YJ16EJK,C,Dundee
YJ66FKH,C,Dundee
YJU694,C,Dundee
YN07OOG,B,Dundee
YN08DFA,C,Dundee
YN15EKJ,C,Dundee
YN17ONX,C,Dundee
YSV607,C,Dundee
YX17OGN,C,Dundee
YX64WBT,C,"Aberdeen, Dundee"
YX64WBU,C,"Aberdeen, Dundee"
YX64WBV,C,"Aberdeen, Dundee"
YX64WBW,C,"Aberdeen, Dundee"
YX64WBY,C,"Aberdeen, Dundee"
YX64WBZ,C,"Aberdeen, Dundee"
YX64WCA,C,"Aberdeen, Dundee"
YX66WOJ,C,"Aberdeen, Dundee"
SH54WXR,B,Edinburgh
SK52OHL,B,Edinburgh
LSK877,C,Edinburgh
SM16HBH,B,Edinburgh
SK06AHL,B,Edinburgh
FN63PWU,C,Edinburgh
M333EMH,B,Edinburgh
SN11CHZ,M,Edinburgh
SK10XAW,M,Edinburgh
ST61HWL,B,Edinburgh
SP06WXL,B,Edinburgh
15RWM,C,Edinburgh
LJ59NDN,B,Edinburgh
P600ABY,C,Edinburgh
AC58ABY,C,Edinburgh
T4SCC,C,Edinburgh
NBW999,C,Edinburgh
DK65AOB,B,Edinburgh
YN14MVR,C,Edinburgh
YJ15EOV,C,Edinburgh
N7DOT,C,Edinburgh
YU05TWK,B,Edinburgh
ST58JKE,M,Edinburgh
BJ12XFP,B,Edinburgh
YN13EHF,B,Edinburgh
SF64NFD,C,Edinburgh
YN16UAW,C,Edinburgh
SJ66LLA,C,Edinburgh
BFZ3132,C,Edinburgh
PN08CNE,C,Edinburgh
SJ07TKY,M,Edinburgh
SP57SSZ,M,Edinburgh
