BusCoach,City,Plate
B,Dundee,SP59AOY
B,Dundee,SP59AOZ
B,Dundee,SP59APU
B,Dundee,SP59CTO
B,Dundee,SP60DYC
B,Dundee,SP60DYD
B,Dundee,SP61CSY
B,Dundee,SP61CSZ
B,Dundee,SP61CTE
B,Dundee,SP61CTF
B,Dundee,SP61CTK
B,Dundee,SP61CTO
B,Dundee,SP61CTU
B,Dundee,SP61CTV
B,Dundee,SP61CTX
B,Dundee,SP61CTY
B,Dundee,SP61CTZ
B,Dundee,SP61CUA
B,Dundee,SP61CUC
B,Dundee,SP61CUG
B,Dundee,SP61CUH
B,Dundee,SP61CUJ
B,Dundee,SP61CUK
B,Dundee,SP61CUO
B,Dundee,SP61CUU
B,Dundee,SP61CUV
B,Dundee,SP61CUW
C,Dundee,SP61CWZ
C,Dundee,SP61CXB
B,Dundee,SP62BHX
B,Dundee,SP62BJJ
B,Dundee,SP62BJX
B,Dundee,SP62BKA
B,Dundee,SP62BKF
C,Dundee,SP62BMY
C,Dundee,SP62BNB
B,Dundee,SP62BOH
B,Dundee,SP62BRV
B,Dundee,SP62BSO
B,Dundee,SP62BTX
B,Dundee,SP62BUO
B,Dundee,SP62BVZ
C,Dundee,SP62CFE
C,Dundee,SP62CFM
C,Dundee,SP62CGY
C,Dundee,SP62CHK
B,Dundee,ST52NTM
C,Dundee,SV12BZN
B,Dundee,SV12CJU
B,Dundee,SV55BZX
B,Dundee,SV55CCK
C,Dundee,SV59CHC
B,Dundee,SV60CCO
B,Dundee,SV60CCX
C,Dundee,SV62BBK
C,Dundee,SV62BFF
C,Dundee,SW09UMB
C,Dundee,SW09UNS
C,Dundee,UAP969
B,Dundee,US60LFS
B,Dundee,V426MOA
B,Dundee,V76MOA
B,Dundee,W117DOP
B,Dundee,W122DOP
B,Dundee,W124DOP
B,Dundee,WA04FOJ
B,Dundee,WA04FOM
C,Dundee,WA14CNE
B,Dundee,WR58ZWS
C,Dundee,XIL636
C,Dundee,XIL676
C,Dundee,XIL711
C,Dundee,YBZ818
B,Dundee,YE52FGV
C,Dundee,YIJ351
C,Dundee,YIL696
C,Dundee,YJ14LHC
B,Dundee,YJ15AEF
B,Dundee,YJ15AEG
B,Dundee,YJ15AMV
B,Dundee,YJ15ANF
C,Dundee,YJ16EJE
C,Dundee,YJ16EJF
C,Dundee,YJ16EJK
C,Dundee,YJ66FKH
C,Dundee,YJU694
B,Dundee,YN07OOG
C,Dundee,YN08DFA
C,Dundee,YN15EKJ
C,Dundee,YN17ONX
C,Dundee,YSV607
C,Dundee,YX17OGN
C,Dundee,YX64WBT
C,Dundee,YX64WBU
C,Dundee,YX64WBV
C,Dundee,YX64WBW
C,Dundee,YX64WBY
C,Dundee,YX64WBZ
C,Dundee,YX64WCA
C,Dundee,YX66WOJ
B,Edinburgh,SH54WXR
B,Edinburgh,SK52OHL
C,Edinburgh,LSK877
B,Edinburgh,SM16HBH
B,Edinburgh,SK06AHL
C,Edinburgh,FN63PWU
B,Edinburgh,M333EMH
M,Edinburgh,SN11CHZ
M,Edinburgh,SK10XAW
B,Edinburgh,ST61HWL
B,Edinburgh,SP06WXL
C,Edinburgh,15RWM
B,Edinburgh,LJ59NDN
C,Edinburgh,P600ABY
C,Edinburgh,AC58ABY
C,Edinburgh,T4SCC
C,Edinburgh,NBW999
B,Edinburgh,DK65AOB
C,Edinburgh,YN14MVR
C,Edinburgh,YJ15EOV
C,Edinburgh,N7DOT
B,Edinburgh,YU05TWK
M,Edinburgh,ST58JKE
B,Edinburgh,BJ12XFP
B,Edinburgh,YN13EHF
C,Edinburgh,SF64NFD
C,Edinburgh,YN16UAW
C,Edinburgh,SJ66LLA
C,Edinburgh,BFZ3132
C,Edinburgh,PN08CNE
M,Edinburgh,SJ07TKY
M,Edinburgh,SP57SSZ
B,Edinburgh,A3YKH
M,Edinburgh,BT61DJO
B,Edinburgh,MX61LGF
M,Edinburgh,WA10GZP
B,Edinburgh,MH03EMH
B,Edinburgh,SN06HCC
B,Edinburgh,SN65ACV
B,Edinburgh,SN57HDF
M,Edinburgh,SO05CAM
C,Edinburgh,AD62AAA
M,Edinburgh,LJ59NDE
M,Edinburgh,AF14YMJ
M,Edinburgh,SG08GKE
B,Edinburgh,P111SMP
C,Edinburgh,DEZ4115
B,Edinburgh,SN10GKO
B,Edinburgh,ST61HWN
B,Edinburgh,SN15CCD
C,Edinburgh,PO14AXA
B,Edinburgh,SN16BWJ
B,Edinburgh,SN04AAZ
M,Edinburgh,SE14OAC
C,Edinburgh,SN10ENO
B,Edinburgh,YJ56YNH
C,Edinburgh,N200CHA
M,Edinburgh,LX58DJK
B,Edinburgh,YN16BNK
B,Edinburgh,SN10GJV
C,Edinburgh,FN63PWY
C,Edinburgh,PM63AAA
M,Edinburgh,TK07RAX
C,Edinburgh,BFZ3131
B,Edinburgh,SN04NGU
C,Edinburgh,JSV440
C,Edinburgh,KSK981
B,Edinburgh,WX13HNU
C,Edinburgh,N500CHA
B,Edinburgh,SN10GJU
B,Edinburgh,ST61HWJ
B,Edinburgh,A17PHO
M,Edinburgh,SK10XAT
B,Edinburgh,N600CHA
B,Edinburgh,SN04NGG
C,Edinburgh,YR16BNV
M,Edinburgh,SN60BMZ
B,Edinburgh,MX61LGE
C,Edinburgh,EB66AAA
C,Edinburgh,AS15JDS
B,Edinburgh,MX61LGA
